"Step","2of3-test_accuracy","2of3-test_accuracy__MIN","2of3-test_accuracy__MAX","2of3-accuracy","2of3-accuracy__MIN","2of3-accuracy__MAX","2of3-test_err1","2of3-test_err1__MIN","2of3-test_err1__MAX","2of3-test_err2","2of3-test_err2__MIN","2of3-test_err2__MAX","2of3-err1","2of3-err1__MIN","2of3-err1__MAX","2of3-err2","2of3-err2__MIN","2of3-err2__MAX","2of3-loss","2of3-loss__MIN","2of3-loss__MAX","1of3-test_accuracy","1of3-test_accuracy__MIN","1of3-test_accuracy__MAX","1of3-accuracy","1of3-accuracy__MIN","1of3-accuracy__MAX","1of3-test_err1","1of3-test_err1__MIN","1of3-test_err1__MAX","1of3-test_err2","1of3-test_err2__MIN","1of3-test_err2__MAX","1of3-err1","1of3-err1__MIN","1of3-err1__MAX","1of3-err2","1of3-err2__MIN","1of3-err2__MAX","1of3-loss","1of3-loss__MIN","1of3-loss__MAX","0of3-test_accuracy","0of3-test_accuracy__MIN","0of3-test_accuracy__MAX","0of3-accuracy","0of3-accuracy__MIN","0of3-accuracy__MAX","0of3-test_err1","0of3-test_err1__MIN","0of3-test_err1__MAX","0of3-test_err2","0of3-test_err2__MIN","0of3-test_err2__MAX","0of3-err1","0of3-err1__MIN","0of3-err1__MAX","0of3-err2","0of3-err2__MIN","0of3-err2__MAX","0of3-loss","0of3-loss__MIN","0of3-loss__MAX"
"68","0.7265625","0.7265625","0.7265625","0.69140625","0.69140625","0.69140625","0.2705078125","0.2705078125","0.2705078125","0.0029296875","0.0029296875","0.0029296875","0.306640625","0.306640625","0.306640625","0.001953125","0.001953125","0.001953125","0.12484928189951461","0.12484928189951461","0.12484928189951461","0.7109375","0.7109375","0.7109375","0.681640625","0.681640625","0.681640625","0.287109375","0.287109375","0.287109375","0.001953125","0.001953125","0.001953125","0.31640625","0.31640625","0.31640625","0.001953125","0.001953125","0.001953125","0.12541577497904655","0.12541577497904655","0.12541577497904655","0.759765625","0.759765625","0.759765625","0.6865234375","0.6865234375","0.6865234375","0.236328125","0.236328125","0.236328125","0.00390625","0.00390625","0.00390625","0.3115234375","0.3115234375","0.3115234375","0.001953125","0.001953125","0.001953125","0.12117675629269797","0.12117675629269797","0.12117675629269797"
"69","0.6982421875","0.6982421875","0.6982421875","0.65625","0.65625","0.65625","0.2978515625","0.2978515625","0.2978515625","0.00390625","0.00390625","0.00390625","0.33984375","0.33984375","0.33984375","0.00390625","0.00390625","0.00390625","0.13198126495990437","0.13198126495990437","0.13198126495990437","0.6875","0.6875","0.6875","0.6796875","0.6796875","0.6796875","0.3095703125","0.3095703125","0.3095703125","0.0029296875","0.0029296875","0.0029296875","0.3173828125","0.3173828125","0.3173828125","0.0029296875","0.0029296875","0.0029296875","0.13604436212335713","0.13604436212335713","0.13604436212335713","0.6767578125","0.6767578125","0.6767578125","0.6689453125","0.6689453125","0.6689453125","0.3193359375","0.3193359375","0.3193359375","0.00390625","0.00390625","0.00390625","0.326171875","0.326171875","0.326171875","0.0048828125","0.0048828125","0.0048828125","0.13304206922475714","0.13304206922475714","0.13304206922475714"
"70","0.720703125","0.720703125","0.720703125","0.6904296875","0.6904296875","0.6904296875","0.275390625","0.275390625","0.275390625","0.00390625","0.00390625","0.00390625","0.3076171875","0.3076171875","0.3076171875","0.001953125","0.001953125","0.001953125","0.1398892637807876","0.1398892637807876","0.1398892637807876","0.7412109375","0.7412109375","0.7412109375","0.673828125","0.673828125","0.673828125","0.25390625","0.25390625","0.25390625","0.0048828125","0.0048828125","0.0048828125","0.3232421875","0.3232421875","0.3232421875","0.0029296875","0.0029296875","0.0029296875","0.13397475512465462","0.13397475512465462","0.13397475512465462","0.7587890625","0.7587890625","0.7587890625","0.6728515625","0.6728515625","0.6728515625","0.240234375","0.240234375","0.240234375","0.0009765625","0.0009765625","0.0009765625","0.32421875","0.32421875","0.32421875","0.0029296875","0.0029296875","0.0029296875","0.1353907156008063","0.1353907156008063","0.1353907156008063"
"71","0.640625","0.640625","0.640625","0.6982421875","0.6982421875","0.6982421875","0.3583984375","0.3583984375","0.3583984375","0.0009765625","0.0009765625","0.0009765625","0.2998046875","0.2998046875","0.2998046875","0.001953125","0.001953125","0.001953125","0.11873068092245376","0.11873068092245376","0.11873068092245376","0.5810546875","0.5810546875","0.5810546875","0.6708984375","0.6708984375","0.6708984375","0.416015625","0.416015625","0.416015625","0.0029296875","0.0029296875","0.0029296875","0.3271484375","0.3271484375","0.3271484375","0.001953125","0.001953125","0.001953125","0.14514534277259372","0.14514534277259372","0.14514534277259372","0.681640625","0.681640625","0.681640625","0.6826171875","0.6826171875","0.6826171875","0.3125","0.3125","0.3125","0.005859375","0.005859375","0.005859375","0.3154296875","0.3154296875","0.3154296875","0.001953125","0.001953125","0.001953125","0.12732550469809212","0.12732550469809212","0.12732550469809212"
"72","0.7294921875","0.7294921875","0.7294921875","0.6767578125","0.6767578125","0.6767578125","0.2646484375","0.2646484375","0.2646484375","0.005859375","0.005859375","0.005859375","0.3173828125","0.3173828125","0.3173828125","0.005859375","0.005859375","0.005859375","0.13087516017549206","0.13087516017549206","0.13087516017549206","0.6748046875","0.6748046875","0.6748046875","0.6611328125","0.6611328125","0.6611328125","0.322265625","0.322265625","0.322265625","0.0029296875","0.0029296875","0.0029296875","0.333984375","0.333984375","0.333984375","0.0048828125","0.0048828125","0.0048828125","0.145446884976991","0.145446884976991","0.145446884976991","0.671875","0.671875","0.671875","0.6904296875","0.6904296875","0.6904296875","0.3271484375","0.3271484375","0.3271484375","0.0009765625","0.0009765625","0.0009765625","0.3046875","0.3046875","0.3046875","0.0048828125","0.0048828125","0.0048828125","0.12667669421352912","0.12667669421352912","0.12667669421352912"
"73","0.681640625","0.681640625","0.681640625","0.6923828125","0.6923828125","0.6923828125","0.3154296875","0.3154296875","0.3154296875","0.0029296875","0.0029296875","0.0029296875","0.3046875","0.3046875","0.3046875","0.0029296875","0.0029296875","0.0029296875","0.12309745367383584","0.12309745367383584","0.12309745367383584","0.630859375","0.630859375","0.630859375","0.658203125","0.658203125","0.658203125","0.36328125","0.36328125","0.36328125","0.005859375","0.005859375","0.005859375","0.33984375","0.33984375","0.33984375","0.001953125","0.001953125","0.001953125","0.12646155449328944","0.12646155449328944","0.12646155449328944","0.6337890625","0.6337890625","0.6337890625","0.6845703125","0.6845703125","0.6845703125","0.3642578125","0.3642578125","0.3642578125","0.001953125","0.001953125","0.001953125","0.3134765625","0.3134765625","0.3134765625","0.001953125","0.001953125","0.001953125","0.12303124058234971","0.12303124058234971","0.12303124058234971"
"74","0.6396484375","0.6396484375","0.6396484375","0.6630859375","0.6630859375","0.6630859375","0.357421875","0.357421875","0.357421875","0.0029296875","0.0029296875","0.0029296875","0.3330078125","0.3330078125","0.3330078125","0.00390625","0.00390625","0.00390625","0.13073483090556692","0.13073483090556692","0.13073483090556692","0.7109375","0.7109375","0.7109375","0.6787109375","0.6787109375","0.6787109375","0.2822265625","0.2822265625","0.2822265625","0.0068359375","0.0068359375","0.0068359375","0.3203125","0.3203125","0.3203125","0.0009765625","0.0009765625","0.0009765625","0.12351832256536","0.12351832256536","0.12351832256536","0.72265625","0.72265625","0.72265625","0.673828125","0.673828125","0.673828125","0.2744140625","0.2744140625","0.2744140625","0.0029296875","0.0029296875","0.0029296875","0.326171875","0.326171875","0.326171875","0","0","0","0.12722629285417497","0.12722629285417497","0.12722629285417497"
"75","0.7021484375","0.7021484375","0.7021484375","0.6884765625","0.6884765625","0.6884765625","0.2958984375","0.2958984375","0.2958984375","0.001953125","0.001953125","0.001953125","0.30859375","0.30859375","0.30859375","0.0029296875","0.0029296875","0.0029296875","0.1230160148406867","0.1230160148406867","0.1230160148406867","0.66796875","0.66796875","0.66796875","0.69921875","0.69921875","0.69921875","0.3310546875","0.3310546875","0.3310546875","0.0009765625","0.0009765625","0.0009765625","0.298828125","0.298828125","0.298828125","0.001953125","0.001953125","0.001953125","0.12141439739934867","0.12141439739934867","0.12141439739934867","0.6025390625","0.6025390625","0.6025390625","0.6953125","0.6953125","0.6953125","0.3974609375","0.3974609375","0.3974609375","0","0","0","0.302734375","0.302734375","0.302734375","0.001953125","0.001953125","0.001953125","0.12287856204784475","0.12287856204784475","0.12287856204784475"
"76","0.59765625","0.59765625","0.59765625","0.6845703125","0.6845703125","0.6845703125","0.40234375","0.40234375","0.40234375","0","0","0","0.3134765625","0.3134765625","0.3134765625","0.001953125","0.001953125","0.001953125","0.1198572449866333","0.1198572449866333","0.1198572449866333","0.5693359375","0.5693359375","0.5693359375","0.7119140625","0.7119140625","0.7119140625","0.4287109375","0.4287109375","0.4287109375","0.001953125","0.001953125","0.001953125","0.28515625","0.28515625","0.28515625","0.0029296875","0.0029296875","0.0029296875","0.12463793517963495","0.12463793517963495","0.12463793517963495","0.6220703125","0.6220703125","0.6220703125","0.6923828125","0.6923828125","0.6923828125","0.376953125","0.376953125","0.376953125","0.0009765625","0.0009765625","0.0009765625","0.3046875","0.3046875","0.3046875","0.0029296875","0.0029296875","0.0029296875","0.1246396056812955","0.1246396056812955","0.1246396056812955"
"77","0.7001953125","0.7001953125","0.7001953125","0.666015625","0.666015625","0.666015625","0.2939453125","0.2939453125","0.2939453125","0.005859375","0.005859375","0.005859375","0.3330078125","0.3330078125","0.3330078125","0.0009765625","0.0009765625","0.0009765625","0.13184286069008522","0.13184286069008522","0.13184286069008522","0.7177734375","0.7177734375","0.7177734375","0.6689453125","0.6689453125","0.6689453125","0.28125","0.28125","0.28125","0.0009765625","0.0009765625","0.0009765625","0.3251953125","0.3251953125","0.3251953125","0.005859375","0.005859375","0.005859375","0.13504761608783156","0.13504761608783156","0.13504761608783156","0.6875","0.6875","0.6875","0.66796875","0.66796875","0.66796875","0.3115234375","0.3115234375","0.3115234375","0.0009765625","0.0009765625","0.0009765625","0.3310546875","0.3310546875","0.3310546875","0.0009765625","0.0009765625","0.0009765625","0.12498313663672889","0.12498313663672889","0.12498313663672889"
"78","0.71484375","0.71484375","0.71484375","0.6767578125","0.6767578125","0.6767578125","0.2783203125","0.2783203125","0.2783203125","0.0068359375","0.0068359375","0.0068359375","0.3212890625","0.3212890625","0.3212890625","0.001953125","0.001953125","0.001953125","0.12770160389482044","0.12770160389482044","0.12770160389482044","0.744140625","0.744140625","0.744140625","0.6484375","0.6484375","0.6484375","0.2509765625","0.2509765625","0.2509765625","0.0048828125","0.0048828125","0.0048828125","0.34765625","0.34765625","0.34765625","0.00390625","0.00390625","0.00390625","0.13196037251327652","0.13196037251327652","0.13196037251327652","0.7197265625","0.7197265625","0.7197265625","0.6572265625","0.6572265625","0.6572265625","0.27734375","0.27734375","0.27734375","0.0029296875","0.0029296875","0.0029296875","0.3388671875","0.3388671875","0.3388671875","0.00390625","0.00390625","0.00390625","0.1339572641882114","0.1339572641882114","0.1339572641882114"
"79","0.5732421875","0.5732421875","0.5732421875","0.6875","0.6875","0.6875","0.4267578125","0.4267578125","0.4267578125","0","0","0","0.310546875","0.310546875","0.310546875","0.001953125","0.001953125","0.001953125","0.13070775179949123","0.13070775179949123","0.13070775179949123","0.583984375","0.583984375","0.583984375","0.6923828125","0.6923828125","0.6923828125","0.4150390625","0.4150390625","0.4150390625","0.0009765625","0.0009765625","0.0009765625","0.302734375","0.302734375","0.302734375","0.0048828125","0.0048828125","0.0048828125","0.13628381735179573","0.13628381735179573","0.13628381735179573","0.5732421875","0.5732421875","0.5732421875","0.66796875","0.66796875","0.66796875","0.42578125","0.42578125","0.42578125","0.0009765625","0.0009765625","0.0009765625","0.328125","0.328125","0.328125","0.00390625","0.00390625","0.00390625","0.1440496219729539","0.1440496219729539","0.1440496219729539"
"80","0.6025390625","0.6025390625","0.6025390625","0.6611328125","0.6611328125","0.6611328125","0.3955078125","0.3955078125","0.3955078125","0.001953125","0.001953125","0.001953125","0.333984375","0.333984375","0.333984375","0.0048828125","0.0048828125","0.0048828125","0.13771986303618178","0.13771986303618178","0.13771986303618178","0.708984375","0.708984375","0.708984375","0.66796875","0.66796875","0.66796875","0.2880859375","0.2880859375","0.2880859375","0.0029296875","0.0029296875","0.0029296875","0.3310546875","0.3310546875","0.3310546875","0.0009765625","0.0009765625","0.0009765625","0.13283932504418772","0.13283932504418772","0.13283932504418772","0.7666015625","0.7666015625","0.7666015625","0.6650390625","0.6650390625","0.6650390625","0.2314453125","0.2314453125","0.2314453125","0.001953125","0.001953125","0.001953125","0.33203125","0.33203125","0.33203125","0.0029296875","0.0029296875","0.0029296875","0.1284573886077851","0.1284573886077851","0.1284573886077851"
"81","0.755859375","0.755859375","0.755859375","0.6953125","0.6953125","0.6953125","0.2373046875","0.2373046875","0.2373046875","0.0068359375","0.0068359375","0.0068359375","0.302734375","0.302734375","0.302734375","0.001953125","0.001953125","0.001953125","0.12667007673007902","0.12667007673007902","0.12667007673007902","0.701171875","0.701171875","0.701171875","0.6923828125","0.6923828125","0.6923828125","0.2958984375","0.2958984375","0.2958984375","0.0029296875","0.0029296875","0.0029296875","0.3046875","0.3046875","0.3046875","0.0029296875","0.0029296875","0.0029296875","0.12994359407457523","0.12994359407457523","0.12994359407457523","0.728515625","0.728515625","0.728515625","0.67578125","0.67578125","0.67578125","0.2685546875","0.2685546875","0.2685546875","0.0029296875","0.0029296875","0.0029296875","0.3203125","0.3203125","0.3203125","0.00390625","0.00390625","0.00390625","0.13154506661521737","0.13154506661521737","0.13154506661521737"
"82","0.6181640625","0.6181640625","0.6181640625","0.6865234375","0.6865234375","0.6865234375","0.3818359375","0.3818359375","0.3818359375","0","0","0","0.3134765625","0.3134765625","0.3134765625","0","0","0","0.1369707965059206","0.1369707965059206","0.1369707965059206","0.677734375","0.677734375","0.677734375","0.69921875","0.69921875","0.69921875","0.322265625","0.322265625","0.322265625","0","0","0","0.2998046875","0.2998046875","0.2998046875","0.0009765625","0.0009765625","0.0009765625","0.13232266798149794","0.13232266798149794","0.13232266798149794","0.6787109375","0.6787109375","0.6787109375","0.6865234375","0.6865234375","0.6865234375","0.3203125","0.3203125","0.3203125","0.0009765625","0.0009765625","0.0009765625","0.310546875","0.310546875","0.310546875","0.0029296875","0.0029296875","0.0029296875","0.12573603296186775","0.12573603296186775","0.12573603296186775"
"83","0.673828125","0.673828125","0.673828125","0.666015625","0.666015625","0.666015625","0.32421875","0.32421875","0.32421875","0.001953125","0.001953125","0.001953125","0.328125","0.328125","0.328125","0.005859375","0.005859375","0.005859375","0.138288049667608","0.138288049667608","0.138288049667608","0.7314453125","0.7314453125","0.7314453125","0.6728515625","0.6728515625","0.6728515625","0.2646484375","0.2646484375","0.2646484375","0.00390625","0.00390625","0.00390625","0.32421875","0.32421875","0.32421875","0.0029296875","0.0029296875","0.0029296875","0.13705021695932373","0.13705021695932373","0.13705021695932373","0.71484375","0.71484375","0.71484375","0.6923828125","0.6923828125","0.6923828125","0.28125","0.28125","0.28125","0.00390625","0.00390625","0.00390625","0.3037109375","0.3037109375","0.3037109375","0.00390625","0.00390625","0.00390625","0.1240883881400805","0.1240883881400805","0.1240883881400805"
"84","0.73046875","0.73046875","0.73046875","0.6806640625","0.6806640625","0.6806640625","0.26171875","0.26171875","0.26171875","0.0078125","0.0078125","0.0078125","0.3173828125","0.3173828125","0.3173828125","0.001953125","0.001953125","0.001953125","0.12649221916217357","0.12649221916217357","0.12649221916217357","0.7529296875","0.7529296875","0.7529296875","0.6689453125","0.6689453125","0.6689453125","0.2431640625","0.2431640625","0.2431640625","0.00390625","0.00390625","0.00390625","0.326171875","0.326171875","0.326171875","0.0048828125","0.0048828125","0.0048828125","0.1298398127692053","0.1298398127692053","0.1298398127692053","0.7529296875","0.7529296875","0.7529296875","0.6767578125","0.6767578125","0.6767578125","0.2392578125","0.2392578125","0.2392578125","0.0078125","0.0078125","0.0078125","0.322265625","0.322265625","0.322265625","0.0009765625","0.0009765625","0.0009765625","0.12439793045632541","0.12439793045632541","0.12439793045632541"
"85","0.626953125","0.626953125","0.626953125","0.69921875","0.69921875","0.69921875","0.373046875","0.373046875","0.373046875","0","0","0","0.2958984375","0.2958984375","0.2958984375","0.0048828125","0.0048828125","0.0048828125","0.12565903004724532","0.12565903004724532","0.12565903004724532","0.640625","0.640625","0.640625","0.6982421875","0.6982421875","0.6982421875","0.357421875","0.357421875","0.357421875","0.001953125","0.001953125","0.001953125","0.2998046875","0.2998046875","0.2998046875","0.001953125","0.001953125","0.001953125","0.12335691103362478","0.12335691103362478","0.12335691103362478","0.6962890625","0.6962890625","0.6962890625","0.6943359375","0.6943359375","0.6943359375","0.3017578125","0.3017578125","0.3017578125","0.001953125","0.001953125","0.001953125","0.3017578125","0.3017578125","0.3017578125","0.00390625","0.00390625","0.00390625","0.12230769068264635","0.12230769068264635","0.12230769068264635"
"86","0.759765625","0.759765625","0.759765625","0.6982421875","0.6982421875","0.6982421875","0.236328125","0.236328125","0.236328125","0.00390625","0.00390625","0.00390625","0.30078125","0.30078125","0.30078125","0.0009765625","0.0009765625","0.0009765625","0.12202858709497377","0.12202858709497377","0.12202858709497377","0.7119140625","0.7119140625","0.7119140625","0.701171875","0.701171875","0.701171875","0.287109375","0.287109375","0.287109375","0.0009765625","0.0009765625","0.0009765625","0.298828125","0.298828125","0.298828125","0","0","0","0.1161368687171489","0.1161368687171489","0.1161368687171489","0.7421875","0.7421875","0.7421875","0.703125","0.703125","0.703125","0.2529296875","0.2529296875","0.2529296875","0.0048828125","0.0048828125","0.0048828125","0.296875","0.296875","0.296875","0","0","0","0.11430066474713385","0.11430066474713385","0.11430066474713385"
"87","0.69921875","0.69921875","0.69921875","0.689453125","0.689453125","0.689453125","0.298828125","0.298828125","0.298828125","0.001953125","0.001953125","0.001953125","0.30859375","0.30859375","0.30859375","0.001953125","0.001953125","0.001953125","0.1174348804197507","0.1174348804197507","0.1174348804197507","0.689453125","0.689453125","0.689453125","0.7060546875","0.7060546875","0.7060546875","0.3046875","0.3046875","0.3046875","0.005859375","0.005859375","0.005859375","0.2900390625","0.2900390625","0.2900390625","0.00390625","0.00390625","0.00390625","0.11560500844643684","0.11560500844643684","0.11560500844643684","0.6357421875","0.6357421875","0.6357421875","0.7060546875","0.7060546875","0.7060546875","0.36328125","0.36328125","0.36328125","0.0009765625","0.0009765625","0.0009765625","0.2900390625","0.2900390625","0.2900390625","0.00390625","0.00390625","0.00390625","0.11648985899228137","0.11648985899228137","0.11648985899228137"
"88","0.7607421875","0.7607421875","0.7607421875","0.673828125","0.673828125","0.673828125","0.2314453125","0.2314453125","0.2314453125","0.0078125","0.0078125","0.0078125","0.3251953125","0.3251953125","0.3251953125","0.0009765625","0.0009765625","0.0009765625","0.12941423362644855","0.12941423362644855","0.12941423362644855","0.71484375","0.71484375","0.71484375","0.6845703125","0.6845703125","0.6845703125","0.283203125","0.283203125","0.283203125","0.001953125","0.001953125","0.001953125","0.3125","0.3125","0.3125","0.0029296875","0.0029296875","0.0029296875","0.12907451909268275","0.12907451909268275","0.12907451909268275","0.7646484375","0.7646484375","0.7646484375","0.6845703125","0.6845703125","0.6845703125","0.228515625","0.228515625","0.228515625","0.0068359375","0.0068359375","0.0068359375","0.3115234375","0.3115234375","0.3115234375","0.00390625","0.00390625","0.00390625","0.12863357569585787","0.12863357569585787","0.12863357569585787"
"89","0.7646484375","0.7646484375","0.7646484375","0.6787109375","0.6787109375","0.6787109375","0.2314453125","0.2314453125","0.2314453125","0.00390625","0.00390625","0.00390625","0.3193359375","0.3193359375","0.3193359375","0.001953125","0.001953125","0.001953125","0.11998362602025736","0.11998362602025736","0.11998362602025736","0.6728515625","0.6728515625","0.6728515625","0.685546875","0.685546875","0.685546875","0.3232421875","0.3232421875","0.3232421875","0.00390625","0.00390625","0.00390625","0.3125","0.3125","0.3125","0.001953125","0.001953125","0.001953125","0.12946448982984293","0.12946448982984293","0.12946448982984293","0.666015625","0.666015625","0.666015625","0.6982421875","0.6982421875","0.6982421875","0.3330078125","0.3330078125","0.3330078125","0.0009765625","0.0009765625","0.0009765625","0.296875","0.296875","0.296875","0.0048828125","0.0048828125","0.0048828125","0.12740944905090146","0.12740944905090146","0.12740944905090146"
"90","0.6904296875","0.6904296875","0.6904296875","0.7021484375","0.7021484375","0.7021484375","0.30859375","0.30859375","0.30859375","0.0009765625","0.0009765625","0.0009765625","0.2958984375","0.2958984375","0.2958984375","0.001953125","0.001953125","0.001953125","0.12983079203695524","0.12983079203695524","0.12983079203695524","0.6865234375","0.6865234375","0.6865234375","0.6962890625","0.6962890625","0.6962890625","0.3095703125","0.3095703125","0.3095703125","0.00390625","0.00390625","0.00390625","0.302734375","0.302734375","0.302734375","0.0009765625","0.0009765625","0.0009765625","0.13003218853555154","0.13003218853555154","0.13003218853555154","0.759765625","0.759765625","0.759765625","0.689453125","0.689453125","0.689453125","0.2333984375","0.2333984375","0.2333984375","0.0068359375","0.0068359375","0.0068359375","0.310546875","0.310546875","0.310546875","0","0","0","0.1263181619651732","0.1263181619651732","0.1263181619651732"
"91","0.6943359375","0.6943359375","0.6943359375","0.6875","0.6875","0.6875","0.3037109375","0.3037109375","0.3037109375","0.001953125","0.001953125","0.001953125","0.310546875","0.310546875","0.310546875","0.001953125","0.001953125","0.001953125","0.1173879110137932","0.1173879110137932","0.1173879110137932","0.7099609375","0.7099609375","0.7099609375","0.7021484375","0.7021484375","0.7021484375","0.287109375","0.287109375","0.287109375","0.0029296875","0.0029296875","0.0029296875","0.2939453125","0.2939453125","0.2939453125","0.00390625","0.00390625","0.00390625","0.11123461781971855","0.11123461781971855","0.11123461781971855","0.7099609375","0.7099609375","0.7099609375","0.7001953125","0.7001953125","0.7001953125","0.2890625","0.2890625","0.2890625","0.0009765625","0.0009765625","0.0009765625","0.2978515625","0.2978515625","0.2978515625","0.001953125","0.001953125","0.001953125","0.11774026359489653","0.11774026359489653","0.11774026359489653"
"92","0.6435546875","0.6435546875","0.6435546875","0.7001953125","0.7001953125","0.7001953125","0.353515625","0.353515625","0.353515625","0.0029296875","0.0029296875","0.0029296875","0.2978515625","0.2978515625","0.2978515625","0.001953125","0.001953125","0.001953125","0.11906873172847554","0.11906873172847554","0.11906873172847554","0.66796875","0.66796875","0.66796875","0.6845703125","0.6845703125","0.6845703125","0.3291015625","0.3291015625","0.3291015625","0.0029296875","0.0029296875","0.0029296875","0.3134765625","0.3134765625","0.3134765625","0.001953125","0.001953125","0.001953125","0.12505512044299394","0.12505512044299394","0.12505512044299394","0.783203125","0.783203125","0.783203125","0.6845703125","0.6845703125","0.6845703125","0.2109375","0.2109375","0.2109375","0.005859375","0.005859375","0.005859375","0.314453125","0.314453125","0.314453125","0.0009765625","0.0009765625","0.0009765625","0.12214955477611511","0.12214955477611511","0.12214955477611511"
"93","0.7255859375","0.7255859375","0.7255859375","0.693359375","0.693359375","0.693359375","0.2724609375","0.2724609375","0.2724609375","0.001953125","0.001953125","0.001953125","0.3056640625","0.3056640625","0.3056640625","0.0009765625","0.0009765625","0.0009765625","0.11243866496079136","0.11243866496079136","0.11243866496079136","0.7373046875","0.7373046875","0.7373046875","0.7080078125","0.7080078125","0.7080078125","0.2607421875","0.2607421875","0.2607421875","0.001953125","0.001953125","0.001953125","0.2900390625","0.2900390625","0.2900390625","0.001953125","0.001953125","0.001953125","0.10545936919515952","0.10545936919515952","0.10545936919515952","0.6474609375","0.6474609375","0.6474609375","0.693359375","0.693359375","0.693359375","0.3515625","0.3515625","0.3515625","0.0009765625","0.0009765625","0.0009765625","0.3046875","0.3046875","0.3046875","0.001953125","0.001953125","0.001953125","0.12356653051392641","0.12356653051392641","0.12356653051392641"
"94","0.6884765625","0.6884765625","0.6884765625","0.6455078125","0.6455078125","0.6455078125","0.310546875","0.310546875","0.310546875","0.0009765625","0.0009765625","0.0009765625","0.3515625","0.3515625","0.3515625","0.0029296875","0.0029296875","0.0029296875","0.1301536018581828","0.1301536018581828","0.1301536018581828","0.6728515625","0.6728515625","0.6728515625","0.6875","0.6875","0.6875","0.322265625","0.322265625","0.322265625","0.0048828125","0.0048828125","0.0048828125","0.310546875","0.310546875","0.310546875","0.001953125","0.001953125","0.001953125","0.12533105585316662","0.12533105585316662","0.12533105585316662","0.6513671875","0.6513671875","0.6513671875","0.6513671875","0.6513671875","0.6513671875","0.34765625","0.34765625","0.34765625","0.0009765625","0.0009765625","0.0009765625","0.34375","0.34375","0.34375","0.0048828125","0.0048828125","0.0048828125","0.1362712899717735","0.1362712899717735","0.1362712899717735"
"95","0.68359375","0.68359375","0.68359375","0.6748046875","0.6748046875","0.6748046875","0.3095703125","0.3095703125","0.3095703125","0.0068359375","0.0068359375","0.0068359375","0.322265625","0.322265625","0.322265625","0.0029296875","0.0029296875","0.0029296875","0.12235758203314617","0.12235758203314617","0.12235758203314617","0.5712890625","0.5712890625","0.5712890625","0.6865234375","0.6865234375","0.6865234375","0.4287109375","0.4287109375","0.4287109375","0","0","0","0.3095703125","0.3095703125","0.3095703125","0.00390625","0.00390625","0.00390625","0.12532320702302968","0.12532320702302968","0.12532320702302968","0.6865234375","0.6865234375","0.6865234375","0.6875","0.6875","0.6875","0.3095703125","0.3095703125","0.3095703125","0.00390625","0.00390625","0.00390625","0.3115234375","0.3115234375","0.3115234375","0.0009765625","0.0009765625","0.0009765625","0.12798702105646953","0.12798702105646953","0.12798702105646953"
"96","0.6962890625","0.6962890625","0.6962890625","0.697265625","0.697265625","0.697265625","0.302734375","0.302734375","0.302734375","0.0009765625","0.0009765625","0.0009765625","0.2998046875","0.2998046875","0.2998046875","0.0029296875","0.0029296875","0.0029296875","0.11799665323633235","0.11799665323633235","0.11799665323633235","0.7509765625","0.7509765625","0.7509765625","0.703125","0.703125","0.703125","0.248046875","0.248046875","0.248046875","0.0009765625","0.0009765625","0.0009765625","0.2958984375","0.2958984375","0.2958984375","0.0009765625","0.0009765625","0.0009765625","0.11178470800223295","0.11178470800223295","0.11178470800223295","0.673828125","0.673828125","0.673828125","0.70703125","0.70703125","0.70703125","0.326171875","0.326171875","0.326171875","0","0","0","0.29296875","0.29296875","0.29296875","0","0","0","0.11038606950023677","0.11038606950023677","0.11038606950023677"
"97","0.6884765625","0.6884765625","0.6884765625","0.6845703125","0.6845703125","0.6845703125","0.3115234375","0.3115234375","0.3115234375","0","0","0","0.314453125","0.314453125","0.314453125","0.0009765625","0.0009765625","0.0009765625","0.1229915406438522","0.1229915406438522","0.1229915406438522","0.685546875","0.685546875","0.685546875","0.6796875","0.6796875","0.6796875","0.3134765625","0.3134765625","0.3134765625","0.0009765625","0.0009765625","0.0009765625","0.3173828125","0.3173828125","0.3173828125","0.0029296875","0.0029296875","0.0029296875","0.12965925816388335","0.12965925816388335","0.12965925816388335","0.7353515625","0.7353515625","0.7353515625","0.671875","0.671875","0.671875","0.2578125","0.2578125","0.2578125","0.0068359375","0.0068359375","0.0068359375","0.3251953125","0.3251953125","0.3251953125","0.0029296875","0.0029296875","0.0029296875","0.12333776794548612","0.12333776794548612","0.12333776794548612"
"98","0.7353515625","0.7353515625","0.7353515625","0.689453125","0.689453125","0.689453125","0.263671875","0.263671875","0.263671875","0.0009765625","0.0009765625","0.0009765625","0.3076171875","0.3076171875","0.3076171875","0.0029296875","0.0029296875","0.0029296875","0.12200672300969018","0.12200672300969018","0.12200672300969018","0.6923828125","0.6923828125","0.6923828125","0.6826171875","0.6826171875","0.6826171875","0.3056640625","0.3056640625","0.3056640625","0.001953125","0.001953125","0.001953125","0.31640625","0.31640625","0.31640625","0.0009765625","0.0009765625","0.0009765625","0.12367656246351544","0.12367656246351544","0.12367656246351544","0.755859375","0.755859375","0.755859375","0.693359375","0.693359375","0.693359375","0.23828125","0.23828125","0.23828125","0.005859375","0.005859375","0.005859375","0.3037109375","0.3037109375","0.3037109375","0.0029296875","0.0029296875","0.0029296875","0.12046907031617593","0.12046907031617593","0.12046907031617593"
